ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
11,Age Retirement,2012,1999,1999,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,1,1,A,A,D,A,SD,A,A,A,A,A,A,D,A,SD,A,,A,Male,61 or older,,,,,,1
12,Resignation-Move overseas/interstate,2012,2009,2009,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,N,1,1,1,N,N,N,N,A,N,N,N,N,N,N,N,N,N,N,N,N,Male,31-35,,,,,,1
13,Resignation-Other reasons,2012,1998,1998,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,SA,SA,SA,A,A,SA,SA,SA,A,A,SA,A,A,SA,SA,A,A,Female,36-40,,,,,,1
14,Age Retirement,2012,1967,2000,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,N,A,A,A,A,A,A,A,N,N,A,A,A,A,A,D,A,Female,61 or older,,,,,,1
15,Resignation-Other employer,2012,2007,2010,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,0,0,A,A,A,SA,SA,SA,SA,N,N,A,SA,SA,SA,SA,SA,N,SA,Male,31-35,,,,,,1
16,Voluntary Early Retirement (VER),2012,1995,2004,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,D,D,D,D,A,A,A,A,A,A,A,N,A,N,A,N,A,Male,61 or older,,,,,,1
17,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,M,0,1,0,M,M,SD,SD,M,M,A,M,M,M,M,SD,A,A,M,M,M,Male,61 or older,,,,,,1
18,Age Retirement,2012,1996,1996,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,1,1,0,A,D,A,A,SA,A,A,SA,A,A,,A,A,A,A,A,A,Female,56-60,,,,,,1
19,Age Retirement,2012,2006,2006,Cleaner,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,,,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
20,Age Retirement,2012,1989,1989,Cleaner,,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,,,A,A,A,A,A,A,A,A,Male,61 or older,,,,,,1
21,Resignation-Other employer,2012,1982,1982,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,D,D,A,A,A,N,SD,D,A,A,D,SA,N,A,SD,A,Male,56-60,,,,,,1
22,Resignation-Other reasons,2012,1980,2009,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,0,SA,SA,A,SA,D,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,,SA,Female,51-55,,,,,,1
23,Resignation-Other reasons,2012,1997,1998,School Administrative Staff,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,A,A,A,D,A,A,A,N,N,A,N,D,D,N,N,D,D,Female,46-50,,,,,,1
24,Resignation-Other reasons,2012,1973,2012,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,True,False,False,False,False,0,0,False,M,0,1,0,SD,SD,D,D,A,D,D,M,SD,SD,SD,A,SD,SD,D,SD,SD,Female,61 or older,,,,,,1
25,Age Retirement,2012,1981,1981,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,1,A,SA,A,A,SA,SA,SA,A,A,N,N,A,A,SA,A,N,A,Female,61 or older,,,,,,1
26,Resignation-Other reasons,2012,1995,2002,Teacher,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,0,1,D,SD,SD,N,N,A,N,N,SD,SD,A,N,N,N,A,SD,A,Female,41-45,,,,,,1
27,Age Retirement,2012,1974,1977,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,D,A,Male,56-60,,,,,,1
28,Resignation-Other employer,2012,2005,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,A,A,Female,21-25,Yes,,,,,1
29,Age Retirement,2012,1989,1989,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,SA,0,1,1,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,Female,56-60,,,,,,1
30,Age Retirement,2012,1975,2003,Teacher,Special Education,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,A,A,A,A,A,A,A,A,A,A,A,SA,SA,A,A,Female,56-60,,,,,,1
31,Age Retirement,2012,1989,1989,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,D,0,0,0,SD,D,D,SD,A,SA,A,,SD,A,D,D,A,M,A,SD,SA,Female,56-60,,,,,,0
32,Age Retirement,2012,1978,1978,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SD,0,1,1,N,A,D,A,A,A,D,N,SD,N,SD,A,A,N,A,D,A,Female,51-55,,,,,,1
33,Age Retirement,2012,1975,1992,Head of Curriculum/Head of Special Education,,Not Stated,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,D,A,Male,56-60,,,,,,1
34,Resignation-Other reasons,2012,2003,2003,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,SD,0,0,1,N,N,SD,SD,SD,SD,SD,N,SD,D,N,N,N,D,N,D,N,Male,36-40,,,,Yes,,1
35,Resignation-Other reasons,2012,2006,2009,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,1,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,Male,61 or older,,,,,,1
36,Ill Health Retirement,2012,2000,2000,Teacher,Special Education,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SD,1,1,1,A,D,D,SD,SA,D,D,D,SD,A,SD,D,D,D,SD,SD,D,Female,51-55,,,,,,1
37,Age Retirement,2012,Not Stated,1997,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,1,A,SA,SA,A,SA,SA,SA,A,,SA,SA,SA,SA,SA,SA,N,SA,Male,61 or older,,,,,,1
38,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,Central Queensland,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,0,1,SA,SA,SA,SA,SA,SA,SA,SA,N,N,N,SA,SA,SA,SA,N,N,Female,21-25,,,,,,1
39,Other,2012,1998,1998,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,D,A,N,D,A,SD,SD,N,D,A,N,N,SD,A,Female,51-55,,,,,,1
40,Resignation-Move overseas/interstate,2012,Not Stated,Not Stated,Teacher,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,D,SD,SD,N,D,SA,SA,SD,D,SA,SA,N,N,N,N,SD,N,Female,21-25,,,,,,1
41,Resignation-Other employer,2012,1977,1980,Teacher,Primary,South East,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,SA,SA,SA,SA,SA,SA,A,A,A,SA,A,SA,A,SA,Male,56-60,,,,,,1
42,Resignation-Other reasons,2012,1974,1994,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,SA,A,N,N,SA,SA,A,SA,N,N,SA,N,A,A,N,N,SA,Female,51-55,,,,,,1
43,Resignation-Move overseas/interstate,2012,2011,2011,Cleaner,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,,,,,A,A,SA,SA,,,Female,41-45,,,,,,0
44,Resignation-Other reasons,2012,1976,1976,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,D,N,SA,A,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,N,A,Male,51-55,,,,,,1
45,Age Retirement,2012,1985,1991,Teacher,Primary,Metropolitan,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,N,D,SD,A,A,A,N,D,N,A,A,A,N,A,A,N,N,Female,51-55,,,,,,1
46,Voluntary Early Retirement (VER),2012,1999,2001,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,SD,D,A,A,A,A,N,N,N,N,A,A,A,A,D,N,Female,46-50,,,,,,1
47,Voluntary Early Retirement (VER),2012,2008,2008,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,N,N,N,A,A,A,A,N,D,D,N,N,A,N,N,N,N,Male,56-60,,,,,,1
48,Age Retirement,2012,1980,1993,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,D,D,A,A,D,A,N,D,D,A,D,A,A,D,A,Female,56-60,,,,,,1
49,Resignation-Move overseas/interstate,2012,2009,2010,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,21-25,,,,,,1
50,Age Retirement,2012,1963,2007,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,D,D,A,N,SA,A,A,A,A,A,A,SA,A,A,D,A,Female,61 or older,,,,,,1
51,Resignation-Move overseas/interstate,2012,2009,2010,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,21-25,,,,,,1
52,Resignation-Other reasons,2012,1993,1993,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,0,SA,A,SD,N,D,N,SA,N,N,A,N,N,N,A,A,A,D,Female,61 or older,,,,,,1
53,Other,2012,1982,1983,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,SA,A,SA,SA,SA,SA,A,A,A,A,A,SA,Female,61 or older,,,,,,1
54,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,0,0,N,A,N,A,A,N,A,D,D,D,N,N,N,N,A,SD,A,Female,56-60,,,,,,0
55,Age Retirement,2012,1979,2008,Teacher,Special Education,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,D,A,D,SD,A,SD,SD,A,SD,SD,SD,SD,SD,A,A,N,A,Female,56-60,,,,,,1
56,Resignation-Other employer,2012,2008,2008,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,N,A,SA,SA,N,A,N,,A,N,SA,N,A,A,SA,A,A,Female,26-30,,,,,,1
57,Age Retirement,2012,1990,1990,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,A,A,A,N,A,A,D,A,N,N,N,A,A,A,A,N,A,Female,61 or older,,,,,,1
58,Resignation-Other employer,2012,2003,2012,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,N,N,N,N,A,A,A,A,N,N,N,D,N,N,N,N,N,Male,46-50,,,,,,1
59,Ill Health Retirement,2012,1980,2012,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,0,A,SD,SD,D,D,D,D,D,D,A,A,D,A,D,D,D,A,Female,51-55,,,,,,1
60,Age Retirement,2012,Not Stated,Not Stated,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,A,SA,,61 or older,,,,,,0
61,Age Retirement,2012,1977,1987,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,N,A,A,A,A,A,A,N,A,A,A,A,A,A,A,Male,46-50,,,,,,1
62,Resignation-Other reasons,2012,2011,2011,Schools Officer,,Central Queensland,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,1,0,1,A,SA,SA,SA,SA,SA,SA,SA,A,A,A,A,SA,SA,SA,A,A,Female,31-35,,,,,,1
63,Age Retirement,2012,1990,1990,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,A,A,N,N,N,N,N,A,A,N,N,N,Female,61 or older,,,,,,1
64,Ill Health Retirement,2012,1989,1989,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,N,0,1,1,D,A,N,N,N,SA,A,A,D,A,SD,D,A,N,D,N,A,Male,56-60,,,,,,1
65,Age Retirement,2012,1969,1985,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,A,D,D,A,A,SA,SA,D,D,A,D,A,A,A,D,A,Male,61 or older,,,,,,1
66,Age Retirement,2012,1966,1985,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,D,0,1,1,A,N,D,A,N,A,N,N,D,D,N,A,N,N,N,A,A,Female,61 or older,,,,,,1
67,Other,2012,1969,2007,Teacher,Secondary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,0,A,N,N,A,SA,SA,SA,SD,N,D,,A,A,A,N,,,Male,61 or older,,,,,,1
68,Other,2012,Not Stated,Not Stated,Teacher Aide,,Central Office,Education Queensland,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,D,0,1,1,A,A,A,A,A,A,A,A,N,A,N,N,A,A,N,N,A,Female,26-30,,,,,,1
69,Age Retirement,2012,1980,2006,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,D,0,1,1,A,D,D,D,N,D,SD,SD,D,D,D,D,D,D,D,D,D,,61 or older,,,,,,1
70,Resignation-Other reasons,2012,2006,Not Stated,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,SD,0,1,0,D,D,SD,SD,D,SD,SD,D,SD,SD,SD,N,SD,A,N,SD,N,Female,36-40,,,,,,1
71,Age Retirement,2012,1975,1975,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,1,1,SD,D,D,D,A,A,A,A,A,A,A,A,A,N,A,D,D,Female,56-60,,,,,,1
72,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,1,1,SA,SA,SA,A,A,A,A,A,SA,N,SA,D,N,SD,D,A,A,Female,36-40,,,,,,1
73,Age Retirement,2012,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,0,1,1,A,D,A,SA,A,A,A,A,N,A,N,A,A,SA,A,,A,Female,56-60,,,,,,1
74,Contract Expired,2012,2009,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N,M,Male,26-30,,,,,,1
75,Age Retirement,2012,1975,1975,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,SD,SD,SD,SD,N,A,A,N,A,SD,N,SD,SD,N,N,SD,SD,Female,56-60,,,,,,0
76,Contract Expired,2012,2010,2012,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,SA,A,N,A,A,A,A,A,A,A,A,A,Male,26-30,,,,,Yes,1
77,Ill Health Retirement,2012,1984,2010,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,N,A,A,SA,SA,SA,SA,SA,SA,A,SA,A,A,A,A,N,N,Female,56-60,,,,,,1
78,Termination,2012,2007,2007,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,A,A,SA,A,SD,SD,D,A,A,D,A,A,A,A,N,N,Male,51-55,,,,,,1
79,Contract Expired,2012,2008,2012,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,SA,A,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,A,SA,Male,21-25,,,,,,1
80,Termination,2012,2007,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,A,0,1,1,SA,A,A,A,A,A,SA,D,A,A,A,A,A,A,A,N,N,Male,26-30,,,,,,1
81,Contract Expired,2012,1968,2004,Public Servant,AO5-AO7,Central Office,Other,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,1,1,N,N,N,D,A,N,N,D,D,D,D,D,N,N,D,N,D,Female,61 or older,,,,,,1
82,Contract Expired,2012,2011,2011,Technical Officer,,Central Office,Education Queensland,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,1,0,1,SA,A,D,SA,SA,A,SA,SA,N,A,N,A,N,A,N,N,,Female,21-25,,,,Yes,,1
83,Voluntary Early Retirement (VER),2012,1991,2010,Deputy Principal,,Not Stated,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,0,0,A,D,SD,SD,SD,SD,SD,SD,N,SD,N,SD,SD,SD,SD,N,A,Female,51-55,Yes,,,,,1
84,Contract Expired,2012,2011,2012,Public Servant,A01-A04,Metropolitan,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,D,A,Female,41-45,,,,,Yes,1
85,Termination,2012,2010,2010,Public Servant,AO5-AO7,Not Stated,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,A,SA,SA,A,SA,SA,SA,A,A,A,A,A,A,A,A,A,M,Female,56-60,,,,,,1
86,Age Retirement,2012,1971,1975,School Principal,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,1,SD,D,SD,SD,D,SD,D,A,SD,SD,SD,SA,SD,SD,D,SA,SA,Male,56-60,,,,,,1
87,Termination,2012,2011,2011,Public Servant,A01-A04,South East,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,N,1,1,1,A,A,A,A,A,A,N,D,A,A,A,A,A,A,A,A,A,Female,56-60,,,,,,1
88,Resignation-Move overseas/interstate,2012,2007,2007,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,Female,26-30,,,,,,1
89,Termination,2012,2002,2011,Public Servant,AO5-AO7,Metropolitan,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,D,0,0,0,SA,D,M,SA,SA,SA,SA,,SA,SA,D,SA,SA,SA,A,SA,SA,Male,46-50,,,,,,0
90,Age Retirement,2013,1972,1975,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,A,D,D,A,A,A,A,,A,A,A,A,A,A,A,SA,SA,Female,56-60,,,,,,1
91,Resignation-Other employer,2012,1986,1986,Teacher Aide,,North Coast,,Permanent Part-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,N,N,N,N,SA,SA,N,N,SA,SA,SA,SA,SA,SA,SA,A,A,Female,41-45,,,,,,1
